"","time_point","sentiment","X","nomem_encr","date","follow_the_news_tv.radio","follow_the_news_internet","follow_the_news_free.newspaper","follow_the_news_paid.newspaper","follow_the_news_not.hardly","follow_the_news_dont_know","interested_in_the_news","confidence_dutch_parliament","confidence_eu_parliament","rural_urban","education","age","news_consumption","cohort","edu","urb","trust_eu_levels","sentiment_binary"
"1","Period 1",0.0129972529608938,54037,800009,"2019-12-01",1,1,0,1,0,1,1,7,1,5,5,64,TRUE,"Age 56+","Medium","Rural","Low","Positive"
"2","Period 1",0.0129972529608938,54038,800015,"2019-12-01",1,1,1,0,0,0,1,9,6,1,6,57,TRUE,"Age 56+","High","Urban","Medium","Positive"
"3","Period 1",0.0129972529608938,54039,800054,"2019-12-01",1,1,0,1,0,0,1,7,7,4,2,73,TRUE,"Age 56+","Low","Rural","High","Positive"
"4","Period 1",0.0129972529608938,57320,865106,"2019-12-01",1,1,0,0,0,0,2,6,6,4,2,62,FALSE,"Age 56+","Low","Rural","Medium","Positive"
"5","Period 1",0.0129972529608938,54041,800085,"2019-12-01",1,0,0,1,0,0,1,7,6,5,4,42,TRUE,"Age 30-55","Medium","Rural","Medium","Positive"
"6","Period 1",0.0129972529608938,54042,800100,"2019-12-01",1,1,0,0,0,0,1,7,0,1,4,29,FALSE,"Age 16-29","Medium","Urban","Low","Positive"
"7","Period 1",0.0129972529608938,54043,800119,"2019-12-01",1,0,0,0,0,0,1,7,4,3,2,69,FALSE,"Age 56+","Low","Rural","Medium","Positive"
"8","Period 1",0.0129972529608938,57324,865182,"2019-12-01",1,0,0,1,0,0,1,1,0,4,2,75,TRUE,"Age 56+","Low","Rural","Low","Positive"
"9","Period 1",0.0129972529608938,54045,800161,"2019-12-01",1,1,0,0,0,0,2,7,6,4,5,49,FALSE,"Age 30-55","Medium","Rural","Medium","Positive"
"10","Period 1",0.0129972529608938,54046,800170,"2019-12-01",1,1,0,0,0,0,1,2,3,2,4,61,FALSE,"Age 56+","Medium","Urban","Low","Positive"
"11","Period 1",0.0129972529608938,54047,800186,"2019-12-01",1,0,0,1,0,0,1,7,7,3,2,80,TRUE,"Age 56+","Low","Rural","High","Positive"
"12","Period 1",0.0129972529608938,54048,800201,"2019-12-01",1,1,1,0,0,0,1,7,7,4,4,46,TRUE,"Age 30-55","Medium","Rural","High","Positive"
"13","Period 1",0.0129972529608938,57329,865325,"2019-12-01",1,1,0,0,0,0,2,5,3,3,4,40,FALSE,"Age 30-55","Medium","Rural","Low","Positive"
"14","Period 1",0.0129972529608938,54050,800216,"2019-12-01",1,1,0,1,0,0,1,3,2,5,4,61,TRUE,"Age 56+","Medium","Rural","Low","Positive"
"15","Period 1",0.0129972529608938,54051,800228,"2019-12-01",1,0,0,1,0,0,1,7,2,2,6,67,TRUE,"Age 56+","High","Urban","Low","Positive"
"16","Period 1",0.0129972529608938,54052,800244,"2019-12-01",1,1,0,0,0,0,2,7,3,3,5,64,FALSE,"Age 56+","Medium","Rural","Low","Positive"
"17","Period 1",0.0129972529608938,57333,865364,"2019-12-01",0,1,0,0,0,0,3,4,2,4,4,34,FALSE,"Age 30-55","Medium","Rural","Low","Positive"
"18","Period 1",0.0129972529608938,54054,800289,"2019-12-01",1,1,0,1,0,0,1,5,0,4,2,66,TRUE,"Age 56+","Low","Rural","Low","Positive"
"19","Period 1",0.0129972529608938,54055,800360,"2019-12-01",1,1,0,1,0,0,1,6,6,2,5,67,TRUE,"Age 56+","Medium","Urban","Medium","Positive"
"20","Period 1",0.0129972529608938,54056,800372,"2019-12-01",1,1,1,0,0,0,2,6,5,3,4,29,TRUE,"Age 16-29","Medium","Rural","Medium","Positive"
"21","Period 1",0.0129972529608938,54057,800392,"2019-12-01",0,0,0,0,0,1,1,5,1,5,4,57,FALSE,"Age 56+","Medium","Rural","Low","Positive"
"22","Period 1",0.0129972529608938,54058,800440,"2019-12-01",1,1,0,0,0,0,1,7,7,4,5,31,FALSE,"Age 30-55","Medium","Rural","High","Positive"
"23","Period 1",0.0129972529608938,54059,800445,"2019-12-01",1,1,0,0,0,0,1,3,1,5,4,43,FALSE,"Age 30-55","Medium","Rural","Low","Positive"
"24","Period 1",0.0129972529608938,54060,800463,"2019-12-01",0,1,0,0,0,0,1,7,9,3,4,29,FALSE,"Age 16-29","Medium","Rural","High","Positive"
"25","Period 1",0.0129972529608938,54061,800497,"2019-12-01",1,0,0,1,0,0,2,8,8,5,3,76,TRUE,"Age 56+","Medium","Rural","High","Positive"
"26","Period 1",0.0129972529608938,54062,800500,"2019-12-01",1,0,0,0,0,0,2,1,0,4,1,67,FALSE,"Age 56+","Low","Rural","Low","Positive"
"27","Period 1",0.0129972529608938,57343,865490,"2019-12-01",1,1,1,0,0,0,2,6,5,1,5,30,TRUE,"Age 30-55","Medium","Urban","Medium","Positive"
"28","Period 1",0.0129972529608938,54064,800570,"2019-12-01",1,1,0,0,0,0,2,7,5,4,5,42,FALSE,"Age 30-55","Medium","Rural","Medium","Positive"
"29","Period 1",0.0129972529608938,54065,800573,"2019-12-01",1,0,0,0,0,0,1,7,7,1,6,24,FALSE,"Age 16-29","High","Urban","High","Positive"
"30","Period 1",0.0129972529608938,57346,865521,"2019-12-01",1,0,0,0,0,0,2,6,6,5,5,40,FALSE,"Age 30-55","Medium","Rural","Medium","Positive"
"31","Period 1",0.0129972529608938,54067,800659,"2019-12-01",1,1,0,1,0,0,1,5,6,5,3,79,TRUE,"Age 56+","Medium","Rural","Medium","Positive"
"32","Period 1",0.0129972529608938,54068,800665,"2019-12-01",0,1,0,1,0,0,2,8,8,3,6,22,TRUE,"Age 16-29","High","Rural","High","Positive"
"33","Period 1",0.0129972529608938,54069,800671,"2019-12-01",1,0,0,1,0,0,2,7,3,4,4,67,TRUE,"Age 56+","Medium","Rural","Low","Positive"
"34","Period 1",0.0129972529608938,54070,800674,"2019-12-01",0,1,1,1,0,0,2,1,0,2,5,63,TRUE,"Age 56+","Medium","Urban","Low","Positive"
"35","Period 1",0.0129972529608938,54071,800677,"2019-12-01",1,1,0,0,0,0,1,8,6,1,3,22,FALSE,"Age 16-29","Medium","Urban","Medium","Positive"
"36","Period 1",0.0129972529608938,54072,800695,"2019-12-01",1,0,0,1,0,0,1,6,5,2,2,78,TRUE,"Age 56+","Low","Urban","Medium","Positive"
"37","Period 1",0.0129972529608938,54073,800701,"2019-12-01",1,1,0,1,0,0,2,8,8,1,6,40,TRUE,"Age 30-55","High","Urban","High","Positive"
"38","Period 1",0.0129972529608938,57354,865713,"2019-12-01",1,0,0,1,0,0,1,6,4,5,1,73,TRUE,"Age 56+","Low","Rural","Medium","Positive"
"39","Period 1",0.0129972529608938,54075,800750,"2019-12-01",1,1,0,1,0,0,1,6,6,5,6,57,TRUE,"Age 56+","High","Rural","Medium","Positive"
"40","Period 1",0.0129972529608938,54076,800762,"2019-12-01",1,1,0,1,0,0,1,3,1,4,5,48,TRUE,"Age 30-55","Medium","Rural","Low","Positive"
"41","Period 1",0.0129972529608938,54077,800775,"2019-12-01",1,1,0,1,0,0,1,7,7,5,6,50,TRUE,"Age 30-55","High","Rural","High","Positive"
