"age" "change_500" "change_800" "empl" "expect" "gender" "ger" "hours" "income" "job_ashamed" "job_boring" "job_interesting" "job_repetitive" "job_satisfied" "job_social_status" "job_stimulating" "job_unsatisfied" "time_change" "ubi_300" "ubi_500" "ubi_800" "what_income_300" "what_income_500" "what_income_800" "what_less_300" "what_less_500" "what_less_800" "what_time_300" "what_time_500" "what_time_800"
"1" "18-25" "0" "0" "1" "No change with UBI." "Male" "1" "20-40" "30,000-45,000" "0" "0" "0" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"2" "35-45" "0" "1" "1" "No change with UBI." "Male" "1" "20-40" "45,000-60,000" "0" "0" "0" "0" "1" "1" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Spend it for material goods" NA NA NA NA "20-30%" NA NA "Other"
"3" "35-45" "0" "0" "1" "No change with UBI." "Male" "1" "40+" "15,000-30,000" "0" "0" "1" "1" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"4" "25-35" "0" "1" "1" "No change with UBI." "Male" "1" "20-40" "30,000-45,000" "0" "0" "0" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Other" NA NA NA NA "20-30%" NA NA "Other"
"5" "25-35" "0" "0" "1" "No change with UBI." "Female" "1" "20-40" "30,000-45,000" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"6" "35-45" "0" "0" "1" "No change with UBI." "Male" "1" "20-40" "60,000+" "0" "0" "0" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Other" NA NA NA NA NA NA NA NA
"7" "35-45" "0" "0" "1" "No change with UBI." "Female" "1" "40+" "45,000-60,000" "0" "0" "1" "0" "1" "1" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"8" "35-45" "0" "1" "1" "Unemployed, more chances of full-time employment with UBI" "Male" "1" "20-40" "15,000-30,000" "0" "1" "0" "1" "0" "0" "0" "1" "Over the next few months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA "Spend it for career development training" NA NA NA NA NA NA
"9" "25-35" "0" "1" "1" "No change with UBI." "Male" "1" "10-20" "0-15,000" "0" "0" "0" "1" "0" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Invest it" NA NA NA NA "50%" NA NA "Other"
"10" "25-35" "0" "1" "1" "Employed part-time, more chances of full-time employment with UBI" "Female" "1" "0-10" "0-15,000" "0" "0" "1" "1" "1" "0" "0" "0" "Within the next 12 months" "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA "Invest it" NA NA NA NA NA NA
"11" "25-35" "0" "1" "1" "No change with UBI." "Female" "1" "10-20" "15,000-30,000" "0" "1" "0" "1" "0" "0" "0" "1" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Spend it for career development training" NA NA NA NA "20-30%" NA NA "Other"
"12" "25-35" "0" "0" "1" "Employed part-time, more chances of full-time employment with UBI" "Male" "1" "10-20" "0-15,000" "0" "1" "0" "1" "0" "0" "0" "0" "Within the next 12 months" "Work less" "Work less" "Work less" NA NA NA "20-30%" NA NA "Education" NA NA
"13" "18-25" "0" "0" "1" "No change with UBI." "Male" "1" "20-40" "0-15,000" "0" "0" "1" "0" "1" "0" "1" "0" NA "Stop working" "Stop working" "Stop working" NA NA NA NA NA NA "Other" NA NA
"14" "18-25" "0" "0" "1" "No change with UBI." "Male" "1" "10-20" "15,000-30,000" "0" "0" "1" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"15" "25-35" "0" "0" "1" "No change with UBI." "Male" "1" "10-20" "15,000-30,000" "0" "0" "1" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"16" "18-25" "0" "0" "1" "No change with UBI." "Male" "1" "20-40" "15,000-30,000" "0" "0" "1" "1" "0" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"17" "25-35" "1" "1" "1" "No change with UBI." "Male" "1" "20-40" "0-15,000" "0" "0" "1" "0" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" "Invest it" "Other" NA NA NA NA NA NA
"18" "18-25" "0" "0" "1" "No change with UBI." "Male" "1" "10-20" "15,000-30,000" "0" "0" "1" "0" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" NA NA NA NA NA NA NA NA
"19" "25-35" "1" "1" "1" "No change with UBI." "Female" "1" "10-20" "0-15,000" "0" "0" "0" "1" "1" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Save it" "Spend it for material goods" "Invest it" NA NA NA NA NA NA
"20" "25-35" "0" "0" "1" "No change with UBI." "Male" "1" "40+" "60,000+" "0" "0" "1" "0" "1" "1" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"21" "25-35" "0" "0" "1" "No change with UBI." "Male" "1" "40+" "45,000-60,000" "0" "0" "1" "1" "1" "0" "1" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Spend it for career development training" NA NA NA NA NA NA NA NA
"22" "25-35" "0" "0" "1" "No change with UBI." "Male" "1" "40+" "60,000+" "0" "1" "1" "0" "0" "1" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work the same amount as now" "Invest it" NA NA NA NA NA NA NA NA
"23" "45+" "0" "1" "1" "No change with UBI." "Male" "1" "20-40" "15,000-30,000" "0" "0" "1" "1" "0" "0" "0" "0" NA "Work the same amount as now" "Work the same amount as now" "Work less" "Other" NA NA NA NA "20-30%" NA NA "Other"
